CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"!OBAC LIMITED","FC031362","","","1ST AND 2ND FLOORS ELIZABETH HOUSE","LES RUETIES BRAYES","ST PETER PORT","GUERNSEY","GUERNSEY","GY1 1EW","Other company type","Active","CHANNEL ISLANDS","","30/11/2012","31","12","","31/12/2018","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC031362","","","","","","","","","","","","","","","","","","","","","14/12/2016",""
"!OBAC UK LIMITED","07687209","","","UNIT 9   BERRY COURT FARM BRAMLEY ROAD","LITTLE LONDON","TADLEY","HAMPSHIRE","","RG26 5AT","Private Limited Company","Active","United Kingdom","","29/06/2011","29","12","29/09/2021","31/12/2019","TOTAL EXEMPTION FULL","27/07/2017","29/06/2016","1","1","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/07687209","15/07/2011","!OBAC FITTINGS LIMITED","","","","","","","","","","","","","","","","","","","13/07/2021","29/06/2020"
"!YOZO FASS LIMITED","02714021","","","1 VERONICA HOUSE","WICKHAM ROAD","BROCKLEY","","","SE4 1NQ","Private Limited Company","Active","United Kingdom","","12/05/1992","31","3","31/03/2021","31/03/2019","DORMANT","09/06/2017","12/05/2016","0","0","0","0","90010 - Performing arts","","","","0","0","http://business.data.gov.uk/id/company/02714021","","","","","","","","","","","","","","","","","","","","","26/05/2021","12/05/2020"
"""1 C O LIMITED""","03811958","","","FANE COURT","GREEN ROAD SHIPBOURNE","TONBRIDGE","KENT","","TN11 9PL","Private Limited Company","Active","United Kingdom","","22/07/1999","30","9","30/06/2021","30/09/2019","DORMANT","19/08/2016","22/07/2015","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/03811958","","","","","","","","","","","","","","","","","","","","","05/08/2021","22/07/2020"
"""1ST RATE"" PSYCHOLOGY SERVICES LTD","11303802","","","116 ALEXANDRA ROAD","","GREAT WAKERING","ESSEX","UNITED KINGDOM","SS3 0GW","Private Limited Company","Active","United Kingdom","","11/04/2018","29","4","29/04/2021","29/04/2019","","09/05/2019","","0","0","0","0","85600 - Educational support services","86900 - Other human health activities","","","0","0","http://business.data.gov.uk/id/company/11303802","","","","","","","","","","","","","","","","","","","","","24/04/2021","10/04/2020"
"""2 ECOUTE"" LIMITED","06439541","","","38 PAXTON GARDENS","WOKING","SURREY","","","GU21 5TS","Private Limited Company","Active","United Kingdom","","28/11/2007","30","11","31/08/2021","30/11/2019","DORMANT","26/12/2016","28/11/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/06439541","","","","","","","","","","","","","","","","","","","","","09/01/2021","28/11/2019"
"""20-20 VOICE"" CANCER","CE000952","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom","","17/04/2014","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/CE000952","","","","","","","","","","","","","","","","","","","","","",""
"""243 RUGBY ROAD MANAGEMENT COMPANY LIMITED""","05914136","","","154 - 155 GREAT CHARLES STREET QUEENSWAY","","BIRMINGHAM","","ENGLAND","B3 3LP","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","23/08/2006","31","8","31/05/2021","31/08/2019","","20/09/2016","23/08/2015","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/05914136","","","","","","","","","","","","","","","","","","","","","06/09/2021","23/08/2020"
"""309"" WEST END LANE MANAGEMENT LIMITED","02943302","","","269 FARNBOROUGH ROAD","","FARNBOROUGH","HAMPSHIRE","","GU14 7LY","Private Limited Company","Active","United Kingdom","","28/06/1994","24","12","24/09/2021","24/12/2019","DORMANT","26/07/2017","28/06/2016","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/02943302","","","","","","","","","","","","","","","","","","","","","14/08/2021","31/07/2020"
"""786"" MAZ OFFICE SUPPORT LIMITED","10694769","","","136 EMPRESS AVENUE","","ILFORD","","UNITED KINGDOM","IG1 3DF","Private Limited Company","Active","United Kingdom","","28/03/2017","30","4","31/01/2022","30/04/2020","","25/04/2018","","0","0","0","0","82110 - Combined office administrative service activities","","","","0","0","http://business.data.gov.uk/id/company/10694769","06/04/2017","MAZ A&T SERVICES LIMITED","","","","","","","","","","","","","","","","","","","10/04/2021","27/03/2020"
"""7S&S"" LTD","10159974","","","8 SEATON ROAD","","HAYES","","ENGLAND","UB3 1NS","Private Limited Company","Active","United Kingdom","","03/05/2016","31","5","31/05/2021","31/05/2019","","31/05/2017","","0","0","0","0","47910 - Retail sale via mail order houses or via Internet","","","","0","0","http://business.data.gov.uk/id/company/10159974","","","","","","","","","","","","","","","","","","","","","16/05/2021","02/05/2020"
"""A TASTE OF TUSCANY"" LTD","06473722","","","5 ELSTREE GATE","ELSTREE WAY","BOREHAMWOOD","HERTFORDSHIRE","","WD6 1JD","Private Limited Company","Active","United Kingdom","","15/01/2008","30","12","30/03/2021","31/12/2018","TOTAL EXEMPTION FULL","12/02/2017","15/01/2016","0","0","0","0","56101 - Licensed restaurants","","","","0","0","http://business.data.gov.uk/id/company/06473722","","","","","","","","","","","","","","","","","","","","","26/02/2021","15/01/2020"
"""A"" CERAMICS LIMITED","04494986","","","132 MANCHESTER ROAD","SHAW","OLDHAM","LANCASHIRE","","OL2 7DD","Private Limited Company","Active","United Kingdom","","25/07/2002","31","7","30/04/2021","31/07/2019","TOTAL EXEMPTION FULL","22/08/2016","25/07/2015","1","1","0","0","86230 - Dental practice activities","","","","0","0","http://business.data.gov.uk/id/company/04494986","","","","","","","","","","","","","","","","","","","","","08/08/2021","25/07/2020"
"""A"" CONCEPT LIMITED","02537158","","","BEAUFORT HOUSE","5 MIDDLESEX STREET","LONDON","","","E1 7AA","Private Limited Company","Active","United Kingdom","","05/09/1990","30","6","30/06/2021","30/06/2019","TOTAL EXEMPTION FULL","03/10/2016","05/09/2015","2","0","0","2","64209 - Activities of other holding companies n.e.c.","73110 - Advertising agencies","","","0","0","http://business.data.gov.uk/id/company/02537158","","","","","","","","","","","","","","","","","","","","","19/09/2021","05/09/2020"
"""A.B.J.Z DRIVER HIRE "" LTD","09151627","","","25 ASHFORD ROAD","","PLYMOUTH","","ENGLAND","PL4 7BL","Private Limited Company","Active","United Kingdom","","29/07/2014","31","7","30/04/2021","31/07/2019","TOTAL EXEMPTION FULL","25/08/2016","28/07/2015","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/09151627","","","","","","","","","","","","","","","","","","","","","20/08/2021","06/08/2020"
"""A.K.WELDING SERVICE"" LTD","08981806","","","61 LANGWORTHY ROAD","LANGWORTHY ROAD","MANCHESTER","","ENGLAND","M40 5EP","Private Limited Company","Active","United Kingdom","","07/04/2014","30","4","30/04/2021","30/04/2019","TOTAL EXEMPTION FULL","05/05/2017","07/04/2016","0","0","0","0","41201 - Construction of commercial buildings","","","","0","0","http://business.data.gov.uk/id/company/08981806","","","","","","","","","","","","","","","","","","","","","03/11/2021","20/10/2020"
"""AJA PROPERTY DEVELOPMENT LTD""","05651002","","","10 WOODBERRY AVENUE","HARROW","MIDDLESEX","","","HA2 6AU","Private Limited Company","Active","United Kingdom","","12/12/2005","31","12","30/09/2021","31/12/2019","TOTAL EXEMPTION FULL","09/01/2017","12/12/2015","0","0","0","0","68209 - Other letting and operating of own or leased real estate","","","","0","0","http://business.data.gov.uk/id/company/05651002","30/03/2006","MAYCROSS DEVELOPMENTS LIMITED","","","","","","","","","","","","","","","","","","","23/01/2021","12/12/2019"
"""ALL ABOUT ME"" FULL STOP LIMITED","11513658","","","16 BROADWAY AVENUE","","CROYDON","ENGLAND","ENGLAND","CR0 2LP","Private Limited Company","Active","United Kingdom","","13/08/2018","31","8","31/05/2021","31/08/2019","DORMANT","10/09/2019","","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/11513658","","","","","","","","","","","","","","","","","","","","","26/08/2021","12/08/2020"
"""ALL WRAPPED UP"" EVENTS MANAGEMENT LTD","SC313991","","","13 RUTLAND STREET","","EDINBURGH","","SCOTLAND","EH1 2AE","Private Limited Company","Active","United Kingdom","","03/01/2007","28","2","30/11/2021","29/02/2020","","31/01/2017","03/01/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/SC313991","","","","","","","","","","","","","","","","","","","","","14/02/2021","03/01/2020"
"""ALLWELL"" ORGANIC LTD","11191833","","","142 TODDINGTON ROAD","","LUTON","BEDFORDSHIRE","ENGLAND","LU4 9DY","Private Limited Company","Active","United Kingdom","","07/02/2018","28","2","28/02/2021","28/02/2019","DORMANT","07/03/2019","","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/11191833","25/04/2018","""ALLWELL"" NATURAL HEALTH LTD","","","","","","","","","","","","","","","","","","","02/06/2021","19/05/2020"
"""ALTAI CASHMERE"" LLC","FC027187","","","BUILDING LEFT TO THE ""TUUL""","DRY CLEANING","KHAN-UUL DISTRICT","ULAANBAATAR, MONGOLIA","MONGOLIA","","Other company type","Active","MONGOLIA","","14/06/2006","30","6","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC027187","","","","","","","","","","","","","","","","","","","","","26/12/2016",""
